date,pipe_31,pipe_15,pipe_11,pipe_32,pipe_25,pipe_00,pipe_02,pipe_01,pipe_105,pipe_300
3/9/2017,60.76240391,335.9498956,1089.092179,1177.152127,1387.35171,327.378967,1385.043881,449.822705,687.6474597,818.3216538
3/10/2017,62.59567039,335.9979094,1089.926471,1177.380505,1389.081476,328,1385,453.9572829,688.3834449,816.7213687
3/11/2017,64.34385965,335.7974772,1089.999297,1178.269876,1402.960812,328,1384.612167,457.8106219,688.9987374,809.4290706
3/12/2017,65.80822873,334.2375961,1089.98743,1179.663028,1401.969951,328.0522193,1383.648718,461.4887955,689.0312102,794.3528591
3/13/2017,67.47030049,333.0209205,1090.000697,1183.840143,1401.197909,328.578,1382.997428,465.4156206,689.8891753,780.5013947
3/14/2017,69.24790503,333.7927425,1090.603075,1186.532006,1404.173398,329,1382.776139,469.5879888,690.3632863,769.0780488
3/15/2017,70.90940767,334.4849965,1091.09567,1188.391492,1391.562064,329.4057072,1382.39054,473.6782973,691.132177,768.2878049
3/16/2017,72.58397213,332.5708304,1091.976971,1191.999274,1387.102921,329.9813505,1382.214331,477.7235376,692.0272324,775.6145251
3/17/2017,74.6163522,268.115425,1092.691099,1191.737113,1374.623711,328.2526998,1382.404145,482.508612,692.9633401,785.6111675
3/18/2017,75.9986053,NA,1093.000697,1190.48913,1370.674564,325.9674479,1382.518754,485.9254875,693.7875158,794.6678273
3/19/2017,77.53152493,10.02051282,1093.081498,1190.843511,1383.82245,323.1694102,1382.008766,489.7383513,694.0027082,802.0143678
3/20/2017,79.07549505,105.2610043,1093.423435,1193.307342,1394.938624,320.9160798,1381.743834,494.0160991,694.4142539,799.9919455
3/21/2017,80.57880056,124.0209644,1094,1196.169186,1392.370216,318.9067797,1381.426564,497.7444134,695.0151995,794.1233449
3/22/2017,82.21324042,119.8836237,1094.021618,1198.572563,1397.062674,317.9494109,1381.002667,501.7289199,695.7845836,786.7690693
3/23/2017,83.88888889,112.5341702,1094.958828,1200.398592,1384.326588,317.9224359,1381,505.9385475,696.4712786,784.0857741
3/24/2017,85.39236303,105.3076069,1094.369613,1200.541667,1371.143331,317.7573964,1381,509.6773481,697.1644166,793.8490879
3/25/2017,86.98318713,94.94130594,1096,1199.89519,1356.060669,317.9484277,1381,513.6387142,698.0056533,799.1965035
